location_id,address,commune,district,city
location_25,"Russey Keo, Russey Keo, Phnom Penh",Russey Keo,Russey Keo,Phnom Penh
location_26,"Bak Kaeng, Chroy Changvar, Phnom Penh",Bak Kaeng,Chroy Changvar,Phnom Penh
location_27,"Akreiy Ksatr, Lvea Aem, Kandal",Akreiy Ksatr,Lvea Aem,Kandal
location_28,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Phnom Penh Thmey,Sen Sok,Phnom Penh
location_29,"Bet Trang, Prey Nob, Sihanoukville",Bet Trang,Prey Nob,Sihanoukville
location_30,"Phsar Thmei III, Daun Penh, Phnom Penh",Phsar Thmei III,Daun Penh,Phnom Penh
location_31,"Boeung Kak 2, Toul Kork, Phnom Penh",Boeung Kak 2,Toul Kork,Phnom Penh
location_32,"Svay Dankum, Siem Reap, Siem Reap",Svay Dankum,Siem Reap,Siem Reap
location_33,"Tuek L'ak 3, Toul Kork, Phnom Penh",Tuek L'ak 3,Toul Kork,Phnom Penh
location_34,"Phsar Chas, Daun Penh, Phnom Penh",Phsar Chas,Daun Penh,Phnom Penh
location_35,"Tuol Sangkae 1, Russey Keo, Phnom Penh",Tuol Sangkae 1,Russey Keo,Phnom Penh
location_36,"Kep, Kep, Kep",Kep,Kep,Kep
location_37,"Ou Baek K'am, Sen Sok, Phnom Penh",Ou Baek K'am,Sen Sok,Phnom Penh
location_38,"Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh
location_39,"Chakto Mukh, Daun Penh, Phnom Penh",Chakto Mukh,Daun Penh,Phnom Penh
location_40,"Boeung Salang, Toul Kork, Phnom Penh",Boeung Salang,Toul Kork,Phnom Penh
location_41,"Tuol Sangkae 2, Russey Keo, Phnom Penh",Tuol Sangkae 2,Russey Keo,Phnom Penh
location_42,"River Mekong, Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh
location_43,"Chaom Chau 3, Por Sen Chey, Phnom Penh",Chaom Chau 3,Por Sen Chey,Phnom Penh
location_44,"Svay Chrum, Khsach Kandal, Kandal",Svay Chrum,Khsach Kandal,Kandal
location_45,"Cheung Aek, Dangkao, Phnom Penh",Cheung Aek,Dangkao,Phnom Penh
location_46,"Veal Vong, Kampong Cham, Kampong Cham",Veal Vong,Kampong Cham,Kampong Cham
location_47,"Prey Sa, Dangkao, Phnom Penh",Prey Sa,Dangkao,Phnom Penh
location_48,"Preaek Aeng, Chbar Ampov, Phnom Penh",Preaek Aeng,Chbar Ampov,Phnom Penh
location_49,"Ta Ney, Prey Nob, Sihanoukville",Ta Ney,Prey Nob,Sihanoukville
location_50,"Preaek Ta kov, Khsach Kandal, Kandal",Preaek Ta kov,Khsach Kandal,Kandal
location_51,"Chroy Svay, Srae Ambel, Koh Kong",Chroy Svay,Srae Ambel,Koh Kong
location_52,"Sangkat Bei, Sihanoukville, Sihanoukville",Sangkat Bei,Sihanoukville,Sihanoukville
location_53,"Preaek Anhchanh, Mukh Kampul, Kandal",Preaek Anhchanh,Mukh Kampul,Kandal
location_54,"Snaor, Por Sen Chey, Phnom Penh",Snaor,Por Sen Chey,Phnom Penh
location_55,"78, Tonle Bassac, Chamkarmon, Phnom Penh",Tonle Bassac,Chamkarmon,Phnom Penh
location_56,"Toul Svay Prey 2, Chamkarmon, Phnom Penh",Toul Svay Prey 2,Chamkarmon,Phnom Penh
location_57,"Siem Reap, Siem Reap, Siem Reap",Siem Reap,Siem Reap,Siem Reap
location_58,"Krang Thnong, Sen Sok, Phnom Penh",Krang Thnong,Sen Sok,Phnom Penh
location_59,"72 Pel 72C Phum, Roka Po Pram, Tboung Khmum, Tboung Khmum",Roka Po Pram,Tboung Khmum,Tboung Khmum
location_60,"Stueng Mean chey 1, Meanchey, Phnom Penh",Stueng Mean chey 1,Meanchey,Phnom Penh
location_61,"Boeung Tumpun 1, Meanchey, Phnom Penh",Boeung Tumpun 1,Meanchey,Phnom Penh
location_62,"Samrong, Prey Nob, Sihanoukville",Samrong,Prey Nob,Sihanoukville
location_63,"Doung 217 Street Chamkar, Dangkao, Dangkao, Phnom Penh",Dangkao,Dangkao,Phnom Penh
location_64,"Preaek Kampues, Dangkao, Phnom Penh",Preaek Kampues,Dangkao,Phnom Penh
location_65,"Kandaek, Prasat Bakong, Siem Reap",Kandaek,Prasat Bakong,Siem Reap
location_66,"Tien, Dangkao, Phnom Penh",Tien,Dangkao,Phnom Penh
location_67,"Kakap, Por Sen Chey, Phnom Penh",Kakap,Por Sen Chey,Phnom Penh
location_68,"Srah Chak, Daun Penh, Phnom Penh",Srah Chak,Daun Penh,Phnom Penh
location_69,"Phsar Daeum Kor, Toul Kork, Phnom Penh",Phsar Daeum Kor,Toul Kork,Phnom Penh
location_70,"Khmuonh, Sen Sok, Phnom Penh",Khmuonh,Sen Sok,Phnom Penh
location_71,"Sla Kram, Siem Reap, Siem Reap",Sla Kram,Siem Reap,Siem Reap
location_72,"Kouk Roka, Prek Pnov, Phnom Penh",Kouk Roka,Prek Pnov,Phnom Penh
location_73,"Chbar Ampov II, Chbar Ampov, Phnom Penh",Chbar Ampov II,Chbar Ampov,Phnom Penh
location_74,"Tuol Sangke, Russey Keo, Phnom Penh",Tuol Sangke,Russey Keo,Phnom Penh
location_75,"Tuek L'ak 1, Toul Kork, Phnom Penh",Tuek L'ak 1,Toul Kork,Phnom Penh
location_76,"Phsar Kandal II, Daun Penh, Phnom Penh",Phsar Kandal II,Daun Penh,Phnom Penh
