property_id,property_name,property_types,floor_level,completion_year,facing
property_916,"14 Bed, 16 Bath Villa for Sale & Rent in Chakto Mukh",Villa,,2020,
property_917,"7 Bed, 8 Bath Villa for Sale & Rent in Preaek Lieb",Villa,,2020,W
property_918,"4 Bed, 5 Bath Link House for Sale in Borey Peng Huoth: The Star Platinum Mercurean I",Unit,3.0,2020,E/S
property_919,"4 Bed, 3 Bath House for Sale in BKK 3",House,,2020,E
property_920,"5 Bed, 6 Bath Villa for Sale in Preaek Lieb",Villa,,2020,W
property_921,"1 Bed, 1 Bath Apartment for Sale in Mittapheap",Apartment,2.0,2020,W
property_922,"4 Bed, 5 Bath Villa for Sale in Preaek Lieb",Villa,,2020,N
property_923,"4 Bed, 5 Bath Shophouse for Sale in Nirouth",Shophouse,,2020,
property_924,"4 Bed, 5 Bath Shophouse for Sale & Rent in Nirouth",Shophouse,,2020,S
property_925,"4 Bed, 5 Bath Shophouse for Sale in Veal Sbov",Shophouse,,2020,S
property_926,Land for Sale in Sangkat Buon,Land/Development,,2020,
property_927,"5 Bed, 5 Bath Flat House for Sale in Boeung Salang",Retreat,,2020,N
property_928,Land for Sale in Sangkat Buon,Land/Development,,2020,
property_929,"4 Bed, 5 Bath Twin Villa for Sale in Veal Sbov",Twin Villa,,2020,N/E
property_930,"1 Bed, 1 Bath Condo for Sale in BKK 1",Condo,22.0,2020,
property_931,"4 Bed, 5 Bath Twin Villa for Sale in Veal Sbov",Twin Villa,,2020,N/E
property_932,"1 Bed, 1 Bath Condo for Sale in Boeung Tumpun",Condo,10.0,2020,
property_933,"7 Bed, 9 Bath Villa for Sale in Chrang Chamres I",Villa,,2020,S
property_934,"5 Bed, 5 Bath Shophouse for Sale in Srah Chak",Shophouse,,2020,W
property_935,"9 Bed, 13 Bath Twin Villa for Sale in Phnom Penh Thmey",Twin Villa,,2020,S
property_936,"1 Bed, 1 Bath Condo for Sale & Rent in Tonle Bassac",Condo,13.0,2020,
property_937,"4 Bed, 5 Bath Twin Villa for Sale in Phnom Penh Thmey",Twin Villa,,2020,N
property_938,"3 Bed, 4 Bath Villa for Sale in Svay Dankum",Villa,,2020,
property_939,"2 Bed, 2 Bath Condo for Sale & Rent in BKK 3",Condo,10.0,2020,
property_940,"10 Bed, 11 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Mercurean I",Villa,,2020,W/N
property_941,"4 Bed, 5 Bath Twin Villa for Sale in Preaek Kampues",Twin Villa,,2020,S
property_942,"4 Bed, 4 Bath Villa for Sale in Sambuor Meas",Villa,,2020,N
property_943,Land for Sale in Ponhea Pon,Land/Development,,2020,
property_944,"1 Bed, 1 Bath Condo for Sale in Orkide The Royal Condominium",Condo,16.0,2021,
property_945,"5 Bed, 6 Bath Villa for Sale & Rent in Borey Peng Huoth: The Star Platinum Rosato",Villa,,2021,W
property_946,"5 Bed, 6 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Roseville",Villa,,2021,S
property_947,"1 Bed, 1 Bath Condo for Sale & Rent in Boeung Kak 2",Condo,14.0,2021,
property_948,"5 Bed, 6 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Delta",Villa,,2021,S/W
property_949,"5 Bed, 5 Bath Villa for Sale & Rent in Boeung Kak 2",Villa,,2021,S
property_950,"1 Bed, 1 Bath House for Sale in Phsar Kandal II",House,,2021,N
property_951,"6 Bed, 9 Bath Villa for Sale & Rent in Preaek Thmei",Villa,,2021,
property_952,"3 Bed, 3 Bath Flat for Sale in Russey Keo",Flat,,2021,W
property_953,Land for Sale in Haong Samnam,Land/Development,,2021,
property_954,"2 Bed, 3 Bath Shophouse for Sale & Rent in Tonle Bassac",Shophouse,,2021,W
property_955,"1 Bed, 1 Bath Condo for Sale in Tuek Thla",Condo,9.0,2021,
property_956,"2 Bed, 2 Bath Condo for Sale in BKK 1",Condo,21.0,2021,N
property_957,"2 Bed, 2 Bath Condo for Sale & Rent in Tuol Sangkae 2",Condo,3.0,2021,
property_958,Land for Sale in Chbar Ampov II,Land/Development,,2021,
property_959,"1 Bed, 1 Bath Condo for Sale & Rent in BKK 1",Condo,23.0,2021,E
property_960,Land for Sale in Prey Thnang,Land/Development,,2021,
property_961,Land for Sale in Prey Nheat,Land/Development,,2021,
property_962,"10 Bed, 8 Bath Villa for Sale in Chakto Mukh",Villa,,2021,S
property_963,"4 Bed, 5 Bath Link House for Sale in Preaek Lieb",Unit,,2021,
property_964,"8 Bed, 9 Bath Flat for Sale in Boeung Tumpun",Flat,,2021,
property_965,Land for Sale in Veal Vong,Land/Development,,2021,
property_966,Land for Sale in Chbar Ampov I,Land/Development,,2021,
property_967,Land for Sale in Chbar Ampov I,Land/Development,,2021,
property_968,"4 Bed, 5 Bath Shophouse for Sale & Rent in Borey Peng Huoth: The Star Platinum Eco Sunrise",Shophouse,,2021,E/S
property_969,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Eco Sunrise",Shophouse,,2021,E/S
property_970,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Eco Sunrise",Shophouse,,2021,E/S
property_971,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Eco Sunrise",Shophouse,,2021,
property_972,Land for Sale in Sangkat Buon,Land/Development,,2021,
property_973,"3 Bed, 3 Bath Villa for Sale in Preaek Kampues",Villa,,2021,E
