amenity_id,property_id,amenity_name
amenity_1,property_1002,Car Parking
amenity_2,property_1002,Commercial area
amenity_9,property_1002,Non-Flooding
amenity_1,property_1003,Car Parking
amenity_2,property_1003,Commercial area
amenity_9,property_1003,Non-Flooding
amenity_1,property_1004,Car Parking
amenity_2,property_1004,Commercial area
amenity_9,property_1004,Non-Flooding
amenity_1,property_1005,Car Parking
amenity_2,property_1005,Commercial area
amenity_9,property_1005,Non-Flooding
amenity_1,property_1006,Car Parking
amenity_2,property_1006,Commercial area
amenity_9,property_1006,Non-Flooding
amenity_1,property_1007,Car Parking
amenity_2,property_1007,Commercial area
amenity_8,property_1007,Gym/Fitness Center
amenity_3,property_1007,Lift / Elevator
amenity_9,property_1007,Non-Flooding
amenity_4,property_1007,On main road
amenity_5,property_1007,Swimming Pool
amenity_10,property_1007,Backup Electricity / Generator
amenity_1,property_1008,Car Parking
amenity_2,property_1008,Commercial area
amenity_8,property_1008,Gym/Fitness Center
amenity_3,property_1008,Lift / Elevator
amenity_9,property_1008,Non-Flooding
amenity_11,property_1008,Playground
amenity_5,property_1008,Swimming Pool
amenity_10,property_1008,Backup Electricity / Generator
amenity_1,property_1009,Car Parking
amenity_2,property_1009,Commercial area
amenity_8,property_1009,Gym/Fitness Center
amenity_3,property_1009,Lift / Elevator
amenity_9,property_1009,Non-Flooding
amenity_4,property_1009,On main road
amenity_5,property_1009,Swimming Pool
amenity_10,property_1009,Backup Electricity / Generator
amenity_1,property_1010,Car Parking
amenity_2,property_1010,Commercial area
amenity_8,property_1010,Gym/Fitness Center
amenity_3,property_1010,Lift / Elevator
amenity_9,property_1010,Non-Flooding
amenity_5,property_1010,Swimming Pool
No_amenities,property_1011,No amenities
No_amenities,property_1012,No amenities
No_amenities,property_1013,No amenities
No_amenities,property_1014,No amenities
amenity_3,property_1015,Lift / Elevator
amenity_9,property_1015,Non-Flooding
amenity_10,property_1015,Backup Electricity / Generator
amenity_1,property_1016,Car Parking
amenity_2,property_1016,Commercial area
amenity_9,property_1016,Non-Flooding
No_amenities,property_1017,No amenities
No_amenities,property_1018,No amenities
No_amenities,property_1019,No amenities
No_amenities,property_1020,No amenities
No_amenities,property_1021,No amenities
No_amenities,property_1022,No amenities
amenity_1,property_1023,Car Parking
amenity_2,property_1023,Commercial area
amenity_8,property_1023,Gym/Fitness Center
amenity_13,property_1023,Jacuzzi
amenity_3,property_1023,Lift / Elevator
amenity_9,property_1023,Non-Flooding
amenity_11,property_1023,Playground
amenity_14,property_1023,Sauna
amenity_5,property_1023,Swimming Pool
amenity_10,property_1023,Backup Electricity / Generator
No_amenities,property_1024,No amenities
No_amenities,property_1025,No amenities
No_amenities,property_1026,No amenities
No_amenities,property_1027,No amenities
amenity_1,property_1028,Car Parking
amenity_2,property_1028,Commercial area
amenity_7,property_1028,Garden
amenity_8,property_1028,Gym/Fitness Center
amenity_3,property_1028,Lift / Elevator
amenity_9,property_1028,Non-Flooding
amenity_5,property_1028,Swimming Pool
amenity_10,property_1028,Backup Electricity / Generator
amenity_1,property_1029,Car Parking
amenity_2,property_1029,Commercial area
amenity_9,property_1029,Non-Flooding
amenity_1,property_1030,Car Parking
amenity_2,property_1030,Commercial area
amenity_9,property_1030,Non-Flooding
No_amenities,property_1031,No amenities
No_amenities,property_1032,No amenities
amenity_1,property_1033,Car Parking
amenity_2,property_1033,Commercial area
amenity_9,property_1033,Non-Flooding
No_amenities,property_1034,No amenities
No_amenities,property_1035,No amenities
No_amenities,property_1036,No amenities
No_amenities,property_1037,No amenities
No_amenities,property_1038,No amenities
No_amenities,property_1039,No amenities
amenity_1,property_1040,Car Parking
amenity_2,property_1040,Commercial area
amenity_6,property_1040,Common Area
amenity_7,property_1040,Garden
amenity_8,property_1040,Gym/Fitness Center
amenity_13,property_1040,Jacuzzi
amenity_3,property_1040,Lift / Elevator
amenity_9,property_1040,Non-Flooding
amenity_4,property_1040,On main road
amenity_14,property_1040,Sauna
amenity_5,property_1040,Swimming Pool
amenity_10,property_1040,Backup Electricity / Generator
amenity_1,property_1041,Car Parking
amenity_8,property_1041,Gym/Fitness Center
amenity_3,property_1041,Lift / Elevator
amenity_9,property_1041,Non-Flooding
amenity_5,property_1041,Swimming Pool
amenity_10,property_1041,Backup Electricity / Generator
No_amenities,property_1042,No amenities
No_amenities,property_1043,No amenities
No_amenities,property_1044,No amenities
amenity_1,property_1045,Car Parking
amenity_8,property_1045,Gym/Fitness Center
amenity_3,property_1045,Lift / Elevator
amenity_5,property_1045,Swimming Pool
amenity_10,property_1045,Backup Electricity / Generator
amenity_1,property_1046,Car Parking
amenity_2,property_1046,Commercial area
amenity_9,property_1046,Non-Flooding
No_amenities,property_1047,No amenities
amenity_1,property_1048,Car Parking
amenity_2,property_1048,Commercial area
amenity_9,property_1048,Non-Flooding
No_amenities,property_1049,No amenities
No_amenities,property_1050,No amenities
amenity_1,property_1051,Car Parking
amenity_2,property_1051,Commercial area
amenity_8,property_1051,Gym/Fitness Center
amenity_3,property_1051,Lift / Elevator
amenity_9,property_1051,Non-Flooding
amenity_5,property_1051,Swimming Pool
amenity_1,property_1052,Car Parking
amenity_2,property_1052,Commercial area
amenity_8,property_1052,Gym/Fitness Center
amenity_3,property_1052,Lift / Elevator
amenity_9,property_1052,Non-Flooding
amenity_14,property_1052,Sauna
amenity_5,property_1052,Swimming Pool
amenity_10,property_1052,Backup Electricity / Generator
amenity_1,property_1053,Car Parking
amenity_8,property_1053,Gym/Fitness Center
amenity_3,property_1053,Lift / Elevator
amenity_9,property_1053,Non-Flooding
amenity_5,property_1053,Swimming Pool
