property_id,property_name,property_types,listed_date,updated_date,bedrooms,bathrooms,land_area,floor_area,floor_level,completion_year,facing,price,address,commune,district,city,amenities
245335,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris​ I",Shophouse,27/08/2024,12/9/2024,4,5,96,176,N/A,2022,N,"$195,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245309,"6 Bed, 6 Bath Shophouse for Sale in BKK 1",Shophouse,26/08/2024,15/09/2024,6,6,120,304,N/A,2022,N,"$720,000 ","BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245301,"4 Bed, 5 Bath Shophouse for Sale in Preaek Lieb",Shophouse,26/08/2024,11/9/2024,4,5,99,155,N/A,2022,S,"$160,000 ","Preaek Lieb, Chroy Changvar, Phnom Penh",Preaek Lieb,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245300,"4 Bed, 5 Bath Link House for Sale in Preaek Aeng",Unit,26/08/2024,11/9/2024,4,5,75,151,N/A,2022,S,"$93,000 ","Preaek Aeng, Chbar Ampov, Phnom Penh",Preaek Aeng,Chbar Ampov,Phnom Penh,"Commercial area, Non-Flooding"
245297,"4 Bed, 6 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Euro Ville",Twin Villa,26/08/2024,11/9/2024,4,6,194,216,N/A,2022,N,"$368,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245296,"5 Bed, 6 Bath Villa for Sale in Chak Angrae Kraom",Villa,26/08/2024,19/11/2024,5,6,575,306,N/A,2022,N,"$1,600,000 ","Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Garden, Non-Flooding"
245279,"4 Bed, 5 Bath Flat House for Sale in Chrang Chamres I",Retreat,24/08/2024,2/9/2024,4,5,100,201,N/A,2022,N/A,"$150,000 ","Chrang Chamres I, Russey Keo, Phnom Penh",Chrang Chamres I,Russey Keo,Phnom Penh,"Car Parking, Commercial area, Non-Flooding, On main road"
245275,"5 Bed, 6 Bath Villa for Sale in Preaek Kampues",Villa,24/08/2024,11/9/2024,5,6,231,291,N/A,2022,S,"$388,000 ","Preaek Kampues, Dangkao, Phnom Penh",Preaek Kampues,Dangkao,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245271,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth : The Star Diamond",Shophouse,24/08/2024,10/9/2024,4,5,90,162,N/A,2022,E,"$250,000 ","Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245270,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth : The Star Diamond",Shophouse,24/08/2024,10/9/2024,4,5,99,189,N/A,2022,E,"$340,000 ","Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245266,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,23/08/2024,10/9/2024,3,3,108,83,N/A,2022,N/A,"$80,000 ","Svay Chrum, Khsach Kandal, Kandal",Svay Chrum,Khsach Kandal,Kandal,"Car Parking, Non-Flooding"
